rownumber;Date;Day;Month;Year
1;2000-01-01;1;1;2000
2;2000-01-02;2;1;2000
3;2000-01-03;3;1;2000
4;2000-01-04;4;1;2000
5;2000-01-05;5;1;2000
6;2000-01-06;6;1;2000
7;2000-01-07;7;1;2000
8;2000-01-08;8;1;2000
9;2000-01-09;9;1;2000
10;2000-01-10;10;1;2000
11;2000-01-11;11;1;2000
12;2000-01-12;12;1;2000
13;2000-01-13;13;1;2000
14;2000-01-14;14;1;2000
15;2000-01-15;15;1;2000
16;2000-01-16;16;1;2000
17;2000-01-17;17;1;2000
18;2000-01-18;18;1;2000
19;2000-01-19;19;1;2000
20;2000-01-20;20;1;2000
21;2000-01-21;21;1;2000
22;2000-01-22;22;1;2000
23;2000-01-23;23;1;2000
24;2000-01-24;24;1;2000
25;2000-01-25;25;1;2000
26;2000-01-26;26;1;2000
27;2000-01-27;27;1;2000
28;2000-01-28;28;1;2000
29;2000-01-29;29;1;2000
30;2000-01-30;30;1;2000
31;2000-01-31;31;1;2000
32;2000-02-01;1;2;2000
33;2000-02-02;2;2;2000
34;2000-02-03;3;2;2000
35;2000-02-04;4;2;2000
36;2000-02-05;5;2;2000
37;2000-02-06;6;2;2000
38;2000-02-07;7;2;2000
39;2000-02-08;8;2;2000
40;2000-02-09;9;2;2000
41;2000-02-10;10;2;2000
42;2000-02-11;11;2;2000
43;2000-02-12;12;2;2000
44;2000-02-13;13;2;2000
45;2000-02-14;14;2;2000
46;2000-02-15;15;2;2000
47;2000-02-16;16;2;2000
48;2000-02-17;17;2;2000
49;2000-02-18;18;2;2000
50;2000-02-19;19;2;2000
51;2000-02-20;20;2;2000
52;2000-02-21;21;2;2000
53;2000-02-22;22;2;2000
54;2000-02-23;23;2;2000
55;2000-02-24;24;2;2000
56;2000-02-25;25;2;2000
57;2000-02-26;26;2;2000
58;2000-02-27;27;2;2000
59;2000-02-28;28;2;2000
60;2000-02-29;29;2;2000
61;2000-03-01;1;3;2000
62;2000-03-02;2;3;2000
63;2000-03-03;3;3;2000
64;2000-03-04;4;3;2000
65;2000-03-05;5;3;2000
66;2000-03-06;6;3;2000
67;2000-03-07;7;3;2000
68;2000-03-08;8;3;2000
69;2000-03-09;9;3;2000
70;2000-03-10;10;3;2000
71;2000-03-11;11;3;2000
72;2000-03-12;12;3;2000
73;2000-03-13;13;3;2000
74;2000-03-14;14;3;2000
75;2000-03-15;15;3;2000
76;2000-03-16;16;3;2000
77;2000-03-17;17;3;2000
78;2000-03-18;18;3;2000
79;2000-03-19;19;3;2000
80;2000-03-20;20;3;2000
81;2000-03-21;21;3;2000
82;2000-03-22;22;3;2000
83;2000-03-23;23;3;2000
84;2000-03-24;24;3;2000
85;2000-03-25;25;3;2000
